analitza5 analitza
backend plasma-framework
ctest sweeper
ecm extra-cmake-modules
jdns kopete
kded kded
kdegames libkdegames
kf5activities kactivities
kf5archive karchive
kf5attica attica
kf5auth kauth
kf5bookmarks kbookmarks
kf5codecs kcodecs
kf5completion kcompletion
kf5config kconfig
kf5configwidgets kconfigwidgets
kf5coreaddons kcoreaddons
kf5crash kcrash
kf5dbusaddons kdbusaddons
kf5declarative kdeclarative
kf5designerplugin kdesignerplugin
kf5dnssd kdnssd
kf5doctools kdoctools
kf5emoticons kemoticons
kf5frameworkintegration frameworkintegration
kf5globalaccel kglobalaccel
kf5guiaddons kguiaddons
kf5i18n ki18n
kf5iconthemes kiconthemes
kf5idletime kidletime
kf5init kinit
kf5itemmodels kitemmodels
kf5itemviews kitemviews
kf5jobwidgets kjobwidgets
kf5js kjs
kf5jsembed kjsembed
kf5kcmutils kcmutils
kf5kde4support kdelibs4support
kf5kdelibs4support kdelibs4support
kf5khtml khtml
kf5kio kio
kf5kross kross
kf5mediaplayer kmediaplayer
kf5newstuff knewstuff
kf5notifications knotifications
kf5notifyconfig knotifyconfig
kf5parts kparts
kf5plasma plasma-framework
kf5plasmaquick plasma-framework
kf5plotting kplotting
kf5pty kpty
kf5runner krunner
kf5service kservice
kf5solid solid
kf5sonnet sonnet
kf5su kdesu
kf5texteditor ktexteditor
kf5textwidgets ktextwidgets
kf5threadweaver threadweaver
kf5unitconversion kunitconversion
kf5wallet kwallet
kf5webkit kdewebkit
kf5widgetsaddons kwidgetsaddons
kf5windowsystem kwindowsystem
kf5xmlgui kxmlgui
ksane libksane
libkcddb libkcddb
libkcompactdisc libkcompactdisc
libkdeedu libkdeedu
libkeduvocdocument libkeduvocdocument
libkomparediff2 libkomparediff2
okular okular
qjdns kopete
qmobipocket kdegraphics-mobipocket
